"paper_id","success","error","elapsed_ms","n_labelled","n_unlabelled","n_codebook_vars","n_matched_vars","label_status"
"0956797614557697",TRUE,NA,41,0,5,0,0,"no_codebook"
"0956797615583071",TRUE,NA,27521,0,56,0,0,"no_codebook"
"0956797615620784",TRUE,NA,6351,8,0,11,11,"ok"
"0956797616647519",TRUE,NA,15464,70,71,44,44,"ok"
"0956797616661199",TRUE,NA,27349,0,954,0,0,"no_codebook"
"0956797616663878",TRUE,NA,5,0,3,0,0,"no_codebook"
"0956797616665351",TRUE,NA,4,0,14,0,0,"no_codebook"
"0956797617692000",TRUE,NA,60863,148,0,140,139,"ok"
"0956797617694867",TRUE,NA,14110,68,1,33,33,"ok"
"0956797617705391",TRUE,NA,1358,0,113,0,0,"no_codebook"
"0956797617716929",TRUE,NA,22143,77,0,76,76,"ok"
"0956797617724435",TRUE,NA,6,0,10,0,0,"no_codebook"
"0956797617737129",TRUE,NA,43,0,7494,0,0,"no_codebook"
"0956797617739368",TRUE,NA,7,0,264,0,0,"no_codebook"
"0956797618755322",TRUE,NA,810,0,2630,0,0,"no_codebook"
"0956797618760197",TRUE,NA,815,0,23,0,0,"no_codebook"
"0956797619837981",TRUE,NA,39,0,26,0,0,"no_codebook"
"0956797619841265",TRUE,NA,6,0,46,0,0,"no_codebook"
"0956797619844231",TRUE,NA,48271,164,133,66,61,"ok"
"0956797619866625",TRUE,NA,18,0,23,0,0,"no_codebook"
"0956797619866627",TRUE,NA,19869,142,6,71,71,"ok"
"0956797619890619",TRUE,NA,5192,0,321,0,0,"no_codebook"
"0956797620903716",TRUE,NA,6227,22,168,21,21,"ok"
"0956797620904990",TRUE,NA,24772,36,0,31,25,"ok"
"0956797620927648",TRUE,NA,25410,78,16,78,78,"ok"
"0956797620927967",TRUE,NA,10,0,57,0,0,"no_codebook"
"0956797620929302",TRUE,NA,878,0,6521,0,0,"no_codebook"
"0956797620931108",TRUE,NA,11127,33,0,24,24,"ok"
"0956797620941840",TRUE,NA,43533,208,9,214,214,"ok"
"0956797620948821",TRUE,NA,41425,82,9,86,77,"ok"
"0956797620955209",TRUE,NA,12,0,943,0,0,"no_codebook"
"0956797620957625",TRUE,NA,5201,31,0,31,31,"ok"
"0956797620958638",TRUE,NA,5363,56,0,10,4,"ok"
"0956797620960011",TRUE,NA,70948,253,0,144,144,"ok"
"0956797620963615",TRUE,NA,8,0,127,0,0,"no_codebook"
"0956797620965536",TRUE,NA,107186,311,483,273,114,"ok"
"0956797620967261",TRUE,NA,26428,211,12,107,107,"ok"
"0956797620971298",TRUE,NA,8380,49,276,25,25,"ok"
"0956797620975781",TRUE,NA,7,0,22,0,0,"no_codebook"
"0956797620984464",TRUE,NA,8,0,103,0,0,"no_codebook"
"09567976211005465",TRUE,NA,26312,30,8,36,36,"ok"
"09567976211007414",TRUE,NA,5617,70,50,67,54,"ok"
"09567976211010718",TRUE,NA,4233,0,473,1,0,"no_match"
"09567976211011969",TRUE,NA,174217,394,401,289,257,"ok"
"09567976211016410",TRUE,NA,13,0,1691,0,0,"no_codebook"
"09567976211018618",TRUE,NA,8,0,427,0,0,"no_codebook"
"09567976211019950",TRUE,NA,147066,407,164,294,273,"ok"
"09567976211024259",TRUE,NA,12765,15,98,12,6,"ok"
"09567976211024260",TRUE,NA,19100,0,388,27,6,"no_match"
"09567976211024535",TRUE,NA,68931,164,652,79,78,"ok"
"09567976211026983",TRUE,NA,4305,22,16,16,16,"ok"
"09567976211028978",TRUE,NA,5913,7,43,8,7,"ok"
"09567976211030630",TRUE,NA,41977,131,29,136,131,"ok"
"09567976211032224",TRUE,NA,39715,209,7,67,63,"ok"
"09567976211040491",TRUE,NA,24,0,3415,0,0,"no_codebook"
"09567976211040803",TRUE,NA,11935,48,98,35,31,"ok"
"09567976211049439",TRUE,NA,13565,543,585,180,180,"ok"
"09567976211051272",TRUE,NA,36217,74,17,68,66,"ok"
"09567976211052476",TRUE,NA,155840,17,33,460,21,"ok"
"09567976211055375",TRUE,NA,7782,1,14,9,1,"ok"
"09567976211068045",TRUE,NA,2261,0,121,0,0,"no_codebook"
"09567976211068880",TRUE,NA,19128,12,16,24,24,"ok"
"0956797621991137",TRUE,NA,20932,33,0,37,31,"ok"
"0956797621991548",TRUE,NA,8,0,35,0,0,"no_codebook"
"0956797621995202",TRUE,NA,792,0,5788,0,0,"no_codebook"
"0956797621996660",TRUE,NA,10,0,424,0,0,"no_codebook"
"0956797621997366",TRUE,NA,73995,220,20,140,131,"ok"
"0956797621998312",TRUE,NA,6013,33,13,88,35,"ok"
"09567976221082941",TRUE,NA,12742,0,87724,2,0,"no_match"
"09567976221083219",TRUE,NA,8,0,17,0,0,"no_codebook"
"09567976221094036",TRUE,NA,65118,111,1,72,56,"ok"
"09567976221094782",TRUE,NA,815,0,82,0,0,"no_codebook"
"09567976221116893",TRUE,NA,183852,304,720,439,316,"ok"
"09567976221119391",TRUE,NA,11461,0,45,30,0,"no_match"
"09567976221131519",TRUE,NA,20517,24,2,26,20,"ok"
"09567976221147258",TRUE,NA,4099,0,606,0,0,"no_codebook"
"09567976221147259",TRUE,NA,7,0,105,0,0,"no_codebook"
"09567976221150616",TRUE,NA,4317,0,1007,1,0,"no_match"
"09567976231151581",TRUE,NA,7,0,38,0,0,"no_codebook"
"09567976231154804",TRUE,NA,6,0,126,0,0,"no_codebook"
"09567976231156413",TRUE,NA,6,0,106,0,0,"no_codebook"
"09567976231156793",TRUE,NA,13159,10,2,15,15,"ok"
"09567976231158288",TRUE,NA,237782,848,2,822,822,"ok"
"09567976231173900",TRUE,NA,8,0,74,0,0,"no_codebook"
"09567976231173902",TRUE,NA,1243,0,18700,0,0,"no_codebook"
"09567976231177968",TRUE,NA,3553,0,50,0,0,"no_codebook"
"09567976231179378",TRUE,NA,8,0,46,0,0,"no_codebook"
"09567976231180578",TRUE,NA,12,19,7,19,19,"ok"
"09567976231180588",TRUE,NA,6447,64,0,127,127,"ok"
"09567976231180881",TRUE,NA,8,0,78,0,0,"no_codebook"
"09567976231184887",TRUE,NA,13489,18,0,27,18,"ok"
"09567976231190546",TRUE,NA,4618,0,270,0,0,"no_codebook"
"09567976231192241",TRUE,NA,39406,130,0,54,51,"ok"
"09567976231196145",TRUE,NA,30477,0,128,0,0,"no_codebook"
"09567976231198194",TRUE,NA,55895,24,10,16,6,"ok"
"09567976231199440",TRUE,NA,11,0,622,0,0,"no_codebook"
"09567976231207095",TRUE,NA,1205,0,14497,0,0,"no_codebook"
"09567976231217508",TRUE,NA,2311,0,6547,0,0,"no_codebook"
"09567976231218640",TRUE,NA,6,0,30,0,0,"no_codebook"
"09567976231220902",TRUE,NA,25,0,3849,0,0,"no_codebook"
"09567976231221789",TRUE,NA,6,0,33,0,0,"no_codebook"
"09567976231222288",TRUE,NA,6,0,97,0,0,"no_codebook"
"09567976231222836",TRUE,NA,8,0,492,0,0,"no_codebook"
"09567976231223130",TRUE,NA,910,0,17333,0,0,"no_codebook"
"09567976231223410",TRUE,NA,934,0,9808,0,0,"no_codebook"
"09567976241227411",TRUE,NA,9,0,154,0,0,"no_codebook"
"09567976241228504",TRUE,NA,11,0,529,0,0,"no_codebook"
"09567976241232891",TRUE,NA,28,0,2943,0,0,"no_codebook"
"09567976241239932",TRUE,NA,8,0,137,0,0,"no_codebook"
"09567976241249183",TRUE,NA,28682,105,3415,47,43,"ok"
"09567976241254312",TRUE,NA,20041,0,3,33,2,"no_match"
"09567976241263344",TRUE,NA,16298,20,70,22,6,"ok"
"09567976241266516",TRUE,NA,10,0,90,0,0,"no_codebook"
